== PGL(2,61): order 226920 built in 2.5s
  [PGL(2,61)] |G|=226920 degree=62 odd classes=23 involution classes=2 subgroup candidates=26 (largest 3660)  setup 228.5s
    pair ord(x)=31 ord(ax)=4: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.4s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [5.4s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.4s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.4s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=4: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.8s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.7s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.7s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=12: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=12: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=20: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.6s]
    pair ord(x)=15 ord(ax)=60: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=15 ord(ax)=62: True quotient by N(Z31) of order 124 (1830 vertices) [5.5s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.1s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.5s]
    pair ord(x)=31 ord(ax)=4: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.5s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.5s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.5s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.5s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.5s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=4: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.1s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=4: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=12: True quotient by N(Z61) of order 3660 (62 vertices) [5.4s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=62: True quotient by N(Z61) of order 3660 (62 vertices) [5.3s]
    pair ord(x)=31 ord(ax)=60: True quotient by N(Z61) of order 3660 (62 vertices) [5.2s]
    pair ord(x)=31 ord(ax)=20: True quotient by N(Z61) of order 3660 (62 vertices) [4.7s]
PGL(2,61)      |G|= 226920  inv.classes=2  pairs=  674  non-colourable=0  undecided=0  largest quotient solved=3720  [1545.3s]

SUMMARY
PGL(2,61)        226920 classes=2 pairs=  674 bad=0 undecided=0 maxq=3720
